name_ca,cid,themes,poetic_syllables
18-corona-6,28557,organiques,6
"2,3,7,8-tetraclorodibenzo-p-dioxina",15625,organiques,15
2-Aminopirimidina,10439,organiques,8
2-Etoxinaftalè,7129,organiques,7
2-feniletanol,6054,organiques,6
2-Metoxinaftalè,7119,organiques,7
3-(4-isopropilfenil)-2-metilpropanal,517827,organiques,7
3-(4-tert-butilfenil)-2-metilpropanal,228987,organiques,7
3-hidroxi-3-metilglutaril-coenzim A,445127,organiques,14
3-hidroxiflavona,11349,aliments,6
4-Hidroxibenzaldehid,126,organiques,9
4-nitrobenzaldehid,541,organiques,8
Acesulfame-k,11074431,aliments,6
acetaldehid,177,aliments,5
acetamida,178,organiques,4
acetat d'isoamil,31276,aliments,7
acetat d'octil,8164,aliments,5
acetat de sodi,517045,aliments,5
acetilcisteïna,12035,farmacs|metabolits,6
acetilcolina,187,metabolits,5
acetonitril,6342,organiques,5
Aconitina,245005,organiques|verins,4
acriflavina,443101,farmacs,4
acrilat,25188,organiques,3
acrilonitril,7855,organiques,5
adrenalina,5816,metabolits,4
alanina,5950,metabolits,3
alcohol benzílic,244,organiques,5
Alcohol de cinamil,5315892,aliments|organiques,7
aldosterona,5839,metabolits|organiques,4
aldrín,12310947,organiques,2
alfa-pinè,440968,aliments|farmacs,4
aloïna,12305761,organiques,3
al·licina,65036,farmacs,3
Al·liïna,9576089,metabolits,3
Amarogentina,115149,verins,5
Ambròxid,10857465,organiques,2
amfetamina,3007,verins,4
amigdalina,656516,organiques,4
amikacina,37768,farmacs,4
amilosa,53477771,aliments,3
amlodipina,2162,organiques,4
amoxicil·lina,33613,verins,5
anatabina,11388,organiques|verins,4
androstendiona,6128,metabolits,5
Androsterona,5879,metabolits,4
Anetol,7703,aliments,3
anhídrid acètic,7918,organiques,5
anhídrid ftàlic,6811,organiques,4
Anhídrid fòrmic,9548680,organiques,4
Anhídrid melític,255291,organiques,5
Anisaldehid,31244,aliments|organiques,5
Anisol,7519,organiques,3
antranilat de metil,8635,aliments,7
Apigenina,5280443,organiques,4
Apiol,10659,organiques,3
apomorfina,6005,verins,4
arabitol,94154,aliments,4
Arecaïdina,10355,organiques|verins,5
arginina,28782,metabolits,3
arsfenamina,8774,farmacs,4
articaïna,32170,farmacs,4
asarona,636822,organiques,3
Aspalatina,11282394,aliments,4
asparagina,236,metabolits,4
aspartam,134601,aliments|organiques,3
Atglistatina,71699712,organiques,4
atomoxetina,54841,farmacs,5
AUT00063,57410704,farmacs,5
azodicarboxilat de dietil,5462977,organiques,11
Bakuchiol,5468522,organiques,4
batracotoxina,6324647,verins,5
Benomil,28780,organiques,3
benzaldehid,240,organiques,4
benzamida,2331,organiques|verins,3
Benzoat de calci,62425,aliments|organiques,5
Benzoat de colesteril,2723613,organiques,8
Benzoat de metil,7150,aliments,6
benzoat de sodi,517055,aliments|organiques,5
benzofenona,3102,organiques,4
Benzotriclorur,7367,organiques,5
berberina,2353,organiques|verins,3
Beta-alanina,239,metabolits,5
betametasona,9782,farmacs,5
bicina,8761,organiques,2
biliverdina,5280353,organiques,4
biocitina,83814,metabolits,4
biotina,171548,organiques,3
Biuret,7913,organiques,3
bixina,5281226,aliments,2
blau de metilè,6099,farmacs,5
Bourgeonal,64832,organiques,4
bradicinina,439201,metabolits,4
Bromat de calci,61478,aliments,4
bromat de potassi,23673461,aliments,5
Bromobenzè,7961,organiques,4
bromocriptina,31101,metabolits|verins,4
Bromur d'acetil,10482,organiques,5
bufadienolide,46173848,organiques,6
buprenorfina,644073,organiques,4
bupropió,444,verins,4
Butan-1-amina,8007,organiques,5
butanoat de metil,12180,aliments,7
Butil-hidroxitoluè,31404,aliments,8
butòxid de piperonil,5794,organiques,8
Cacodil,79018,organiques,3
cafeïna,2519,verins,3
calcitonina,16132288,metabolits,4
calcitriol,5280453,organiques,4
camfè,6616,organiques,2
canavanina,439202,metabolits,4
cannabidiol,644019,farmacs,5
Cannabinol,2543,farmacs,4
cantaridina,5944,organiques,4
carbamazepina,2554,organiques,5
Carmí,14950,aliments,2
carnitina,288,metabolits,3
Catequina,9064,aliments,3
Cefelina,442195,verins,3
celiprolol,2663,organiques,4
cerebrosterol,121948,organiques,5
cetirizina,2678,organiques,4
cetè,10038,organiques,2
cianamida,9864,organiques,4
cianat d'amoni,3081932,organiques,5
cianoacetilè,14055,organiques,7
Cianur de benzil,8794,organiques,6
ciclamat de sodi,23665706,aliments,5
ciclohexanona,7967,organiques,5
ciclopamina,442972,organiques|verins,4
Ciclopentanoperhidrofenantrè,1108,organiques,11
Ciclopropenilidè,6432149,organiques,7
cimetidina,2756,farmacs,4
cinamaldehid,637511,aliments|organiques,5
ciproterona,5284537,organiques,4
Cis-3-Hexen-1-ol,5281167,aliments,6
cisteïna,5862,metabolits,3
cistina,67678,metabolits,2
citisina,10235,organiques|verins,3
citrat de cafeïna,6241,verins,6
Citrat de trietil,6506,organiques,6
Citrat trisòdic,6224,aliments|organiques,4
citrul·lina,9750,metabolits|organiques,3
clindamicina,29029,farmacs,4
cloramfenicol,5959,farmacs,5
Clordà,5993,organiques,2
clorhexidina,9552079,farmacs,4
Clorobenzè,7964,organiques,4
clorocromat de piridini,10608386,organiques,8
cloroetà,6337,farmacs,4
clorofil·lina,108006,aliments,4
cloroform,6212,farmacs,3
clorur d'acetil,6367,organiques,5
Clorur d'oxalil,65578,organiques,5
Clorur de benzoïl,7412,organiques,6
