name_ca,verbalised,poetic_syllables
(E)-crotamitó,-crotamitó,4
(EZ)-crotamitó,-crotamitó,4
(RS)-metoprolol,-metoprolol,4
(RS)-mexiletina,-mexiletina,4
(RS)-oxibutinina,-oxibutinina,5
(RS)-primaquina,-primaquina,3
(S)-(−)-carbidopa monohidratat,- -carbidopa monohidratat,9
"1,1'-bis(difenilfosfí)ferrocè","u , u '-bis ferrocè",6
"1,1,1-Tricloroetà","u , u , u -Tricloroetà",8
"1,1,2,2,3,3-Hexacloropropà","u , u , dos , dos , tres , tres -Hexacloropropà",12
"1,1,2,2-tetracloroetà","u , u , dos , dos -tetracloroetà",10
"1,1,2-Triclor-1,2,2-trifluoroetà","u , u , dos -Triclor- u , dos , dos -trifluoroetà",14
"1,1,2-Tricloroetà","u , u , dos -Tricloroetà",8
"1,1-Dicloroetè","u , u -Dicloroetè",7
"1,1-Diclorotetrafluoroetà","u , u -Diclorotetrafluoroetà",12
"1,1-Difluoroetà","u , u -Difluoroetà",8
"1,1-dicloro-1-fluoroetà","u , u -dicloro- u -fluoroetà",11
"1,2,3-Tricloropropà","u , dos , tres -Tricloropropà",8
"1,2-Dibromo-3-cloropropà","u , dos -Dibromo- tres -cloropropà",10
"1,2-Dicloro-1,1,2-trifluoroetà","u , dos -Dicloro- u , u , dos -trifluoroetà",14
"1,2-Dicloroetà","u , dos -Dicloroetà",7
"1,2-Difluoroetà","u , dos -Difluoroetà",8
"1,2-dibromoetà","u , dos -dibromoetà",7
"1,2-diclorobenzè","u , dos -diclorobenzè",7
"1,2-dicloroetè","u , dos -dicloroetè",7
"1,2-dicloropropà","u , dos -dicloropropà",7
"1,2-diclorotetrafluoroetà","u , dos -diclorotetrafluoroetà",12
"1,2-difluorobenzè","u , dos -difluorobenzè",8
"1,2-dimetoxietà","u , dos -dimetoxietà",8
"1,3-butadiè","u , tres -butadiè",6
"1,3-dicloropropà","u , tres -dicloropropà",7
