year,stage_no,date,start,finish,distance_km,type
1985,P,1985-06-28,Plumelec,Plumelec,6.0,Individual time trial
1985,1,1985-06-29,Vannes,Lanester,256.0,Plain stage
1985,2,1985-06-30,Lorient,Vitre,242.0,Plain stage
1985,3,1985-07-01,Vitre,Fougères,73.0,Team time trial
1985,4,1985-07-02,Fougères,Pont-Audemer,239.0,Plain stage
1985,5,1985-07-03,Neufchâtel-en-Bray,Roubaix,224.0,Plain stage with cobblestones
1985,6,1985-07-04,Roubaix,Reims,222.0,Plain stage
1985,7,1985-07-05,Reims,Nancy,217.0,Plain stage
1985,8,1985-07-06,Sarrebourg,Strasbourg,75.0,Individual time trial
1985,9,1985-07-07,Strasbourg,Épinal,174.0,Hilly stage
1985,10,1985-07-08,Épinal,Pontarlier,204.0,Hilly stage
1985,11,1985-07-09,Pontarlier,Morzine Avoriaz,195.0,Stage with mountain(s)
1985,12,1985-07-10,Morzine Avoriaz,Lans-en-Vercors,269.0,Stage with mountain(s)
1985,13,1985-07-11,Villard-de-Lans,Villard-de-Lans,32.0,Individual time trial
1985,14,1985-07-13,Autrans,Saint-Étienne,179.0,Hilly stage
1985,15,1985-07-14,Saint-Étienne,Aurillac,238.0,Plain stage
1985,16,1985-07-15,Aurillac,Toulouse,247.0,Plain stage
1985,17,1985-07-16,Toulouse,Luz Ardiden,209.0,Stage with mountain(s)
1985,18a,1985-07-17,Luz-Saint-Sauveur,Aubisque,53.0,Stage with mountain(s)
1985,18b,1985-07-17,Laruns,Pau,83.0,Stage with mountain(s)
1985,19,1985-07-18,Pau,Bordeaux,203.0,Plain stage
1985,20,1985-07-19,Montpon-Ménestérol,Limoges,225.0,Plain stage
1985,21,1985-07-20,Lac de Vassivière,Lac de Vassivière,46.0,Individual time trial
1985,22,1985-07-21,Orléans,Paris,196.0,Plain stage
1986,P,1986-07-04,Boulogne-Billancourt,Boulogne-Billancourt,4.6,Individual time trial
1986,1,1986-07-05,Nanterre,Sceaux,85.0,Plain stage
1986,2,1986-07-05,Meudon,Saint-Quentin-en-Yvelines,56.0,Team time trial
1986,3,1986-07-06,Levallois-Perret,Liévin,214.0,Plain stage
1986,4,1986-07-07,Liévin,Évreux,243.0,Plain stage
1986,5,1986-07-08,Évreux,Villers-sur-Mer,124.5,Plain stage
1986,6,1986-07-09,Villers-sur-Mer,Cherbourg,200.0,Plain stage
1986,7,1986-07-10,Cherbourg,Saint-Hilaire-du-Harcouët,201.0,Plain stage
1986,8,1986-07-11,Saint-Hilaire-du-Harcouët,Nantes,204.0,Plain stage
1986,9,1986-07-12,Nantes,Nantes,61.5,Individual time trial
1986,10,1986-07-13,Nantes,Futuroscope,183.0,Plain stage
1986,11,1986-07-14,Futuroscope,Bordeaux,258.3,Plain stage
1986,12,1986-07-15,Bayonne,Pau,217.5,Stage with mountain(s)
1986,13,1986-07-16,Pau,Superbagnères,186.0,Stage with mountain(s)
1986,14,1986-07-17,Superbagnères,Blagnac,154.0,Plain stage
1986,15,1986-07-18,Carcassonne,Nîmes,225.5,Plain stage
1986,16,1986-07-19,Nîmes,Gap,246.5,Plain stage
1986,17,1986-07-20,Gap,Serre Chevalier,190.0,Stage with mountain(s)
1986,18,1986-07-21,Briançon,Alpe d'Huez,162.5,Stage with mountain(s)
1986,19,1986-07-23,Villard-de-Lans,Saint-Étienne,179.5,Plain stage
1986,20,1986-07-24,Saint-Étienne,Saint-Étienne,58.0,Individual time trial
1986,21,1986-07-25,Saint-Étienne,Puy de Dôme,190.0,Plain stage
1986,22,1986-07-26,Clermont-Ferrand,Nevers,194.0,Plain stage
1986,23,1986-07-27,Cosne-sur-Loire,Paris,255.0,Plain stage
1987,P,1987-07-01,West Berlin,West Berlin,6.0,Individual time trial
1987,1,1987-07-02,West Berlin,West Berlin,105.0,Plain stage
1987,2,1987-07-02,West Berlin,West Berlin,41.0,Team time trial
1987,3,1987-07-04,Karlsruhe,Stuttgart,219.0,Plain stage
1987,4,1987-07-05,Stuttgart,Pforzheim,79.0,Plain stage
1987,5,1987-07-05,Pforzheim,Strasbourg,112.0,Plain stage
1987,6,1987-07-06,Strasbourg,Épinal,169.0,Plain stage
1987,7,1987-07-07,Épinal,Troyes,211.0,Plain stage
1987,8,1987-07-08,Troyes,Épinay-sous-Sénart,206.0,Plain stage
1987,9,1987-07-09,Orléans,Renazé,260.0,Plain stage
1987,10,1987-07-10,Saumur,Futuroscope,87.0,Individual time trial
1987,11,1987-07-11,Poitiers,Chaumeil,206.0,Hilly stage
1987,12,1987-07-12,Brive,Bordeaux,228.0,Plain stage
1987,13,1987-07-13,Bayonne,Pau,219.0,Stage with mountain(s)
1987,14,1987-07-14,Pau,Luz Ardiden,166.0,Stage with mountain(s)
1987,15,1987-07-15,Tarbes,Blagnac,164.0,Plain stage
1987,16,1987-07-16,Blagnac,Millau,216.0,Hilly stage
1987,17,1987-07-17,Millau,Avignon,239.0,Hilly stage
1987,18,1987-07-19,Carpentras,Mont Ventoux,37.0,Mountain time trial
1987,19,1987-07-20,Valréas,Villard-de-Lans,185.0,Stage with mountain(s)
1987,20,1987-07-21,Villard-de-Lans,Alpe d'Huez,201.0,Stage with mountain(s)
1987,21,1987-07-22,Le Bourg-d'Oisans,La Plagne,185.0,Stage with mountain(s)
1987,22,1987-07-23,La Plagne,Morzine,186.0,Stage with mountain(s)
1987,23,1987-07-24,Saint-Julien-en-Genevois,Dijon,225.0,Plain stage
1987,24,1987-07-25,Dijon,Dijon,38.0,Individual time trial
1987,25,1987-07-26,Créteil,Paris,192.0,Plain stage
1988,P,1988-07-03,Pornichet,La Baule,3.8,Team/Individual time trial
1988,1,1988-07-04,Pontchâteau,Machecoul,92.0,Plain stage
1988,2,1988-07-04,La Haie-Fouassière,Ancenis,48.0,Team time trial
1988,3,1988-07-05,Nantes,Le Mans,213.0,Plain stage
1988,4,1988-07-06,Le Mans,Évreux,158.0,Plain stage
1988,5,1988-07-07,Neufchâtel-en-Bray,Liévin,148.0,Plain stage
1988,6,1988-07-08,Liévin,Wasquehal,52.0,Individual time trial
1988,7,1988-07-09,Wasquehal,Reims,225.0,Plain stage
1988,8,1988-07-10,Reims,Nancy,219.0,Plain stage
1988,9,1988-07-11,Nancy,Strasbourg,161.0,Hilly stage
1988,10,1988-07-12,Belfort,Besançon,149.0,Hilly stage
1988,11,1988-07-13,Besançon,Morzine,232.0,Stage with mountain(s)
1988,12,1988-07-14,Morzine,Alpe d'Huez,227.0,Stage with mountain(s)
1988,13,1988-07-15,Grenoble,Villard-de-Lans,38.0,Mountain time trial
1988,14,1988-07-17,Blagnac,Guzet-Neige,163.0,Stage with mountain(s)
1988,15,1988-07-18,Saint-Girons,Luz Ardiden,187.0,Stage with mountain(s)
1988,16,1988-07-19,Tarbes,Pau,35.0,Plain stage
1988,17,1988-07-19,Pau,Bordeaux,198.0,Plain stage
1988,18,1988-07-20,Ruelle-sur-Touvre,Limoges,94.0,Plain stage
1988,19,1988-07-21,Limoges,Puy-de-Dôme,188.0,Hilly stage
1988,20,1988-07-22,Clermont-Ferrand,Chalon-sur-Saône,223.0,Plain stage
1988,21,1988-07-23,Santenay,Santenay,46.0,Individual time trial
1988,22,1988-07-24,Nemours,Paris,173.0,Plain stage
1989,P,1989-07-01,Luxembourg City (Luxembourg),Luxembourg City (Luxembourg),7.8,Individual time trial
1989,1,1989-07-02,Luxembourg City (Luxembourg),Luxembourg City (Luxembourg),135.5,Plain stage
1989,2,1989-07-02,Luxembourg City (Luxembourg),Luxembourg City (Luxembourg),46.0,Team time trial
1989,3,1989-07-03,Luxembourg City (Luxembourg),Spa (Belgium),241.0,Plain stage
1989,4,1989-07-04,Liège (Belgium),Wasquehal,255.0,Plain stage
1989,5,1989-07-06,Dinard,Rennes,73.0,Individual time trial
1989,6,1989-07-07,Rennes,Futuroscope,259.0,Plain stage
1989,7,1989-07-08,Poitiers,Bordeaux,258.5,Plain stage
1989,8,1989-07-09,Labastide-d'Armagnac,Pau,157.0,Plain stage
1989,9,1989-07-10,Pau,Cauterets,147.0,Stage with mountain(s)
1989,10,1989-07-11,Cauterets,Superbagnères,136.0,Stage with mountain(s)
1989,11,1989-07-12,Luchon,Blagnac,158.5,Stage with mountain(s)
1989,12,1989-07-13,Toulouse,Montpellier,242.0,Plain stage
1989,13,1989-07-14,Montpellier,Marseille,179.0,Plain stage
1989,14,1989-07-15,Marseille,Gap,238.0,Stage with mountain(s)
1989,15,1989-07-16,Gap,Orcières-Merlette,39.0,Mountain time trial
1989,16,1989-07-18,Gap,Briançon,175.0,Stage with mountain(s)
1989,17,1989-07-19,Briançon,Alpe d'Huez,165.0,Stage with mountain(s)
1989,18,1989-07-20,Le Bourg-d'Oisans,Villard-de-Lans,91.5,Stage with mountain(s)
1989,19,1989-07-21,Villard-de-Lans,Aix-les-Bains,125.0,Stage with mountain(s)
1989,20,1989-07-22,Aix-les-Bains,L'Isle-d'Abeau,130.0,Plain stage
1989,21,1989-07-23,Versailles,Paris,24.5,Individual time trial
1990,P,1990-06-30,Futuroscope,Futuroscope,6.3,Individual time trial
1990,1,1990-07-01,Futuroscope,Futuroscope,138.5,Plain stage
1990,2,1990-07-01,Futuroscope,Futuroscope,44.5,Team time trial
1990,3,1990-07-02,Poitiers,Nantes,233.0,Plain stage
1990,4,1990-07-03,Nantes,Mont Saint-Michel,203.0,Plain stage
1990,5,1990-07-04,Avranches,Rouen,301.0,Plain stage
1990,6,1990-07-06,Sarrebourg,Vittel,202.5,Plain stage
1990,7,1990-07-07,Vittel,Épinal,61.5,Individual time trial
1990,8,1990-07-08,Épinal,Besançon,181.5,Plain stage
1990,9,1990-07-09,Besançon,Geneva (Switzerland),196.0,Hilly stage
1990,10,1990-07-10,Geneva (Switzerland),Saint-Gervais,118.5,Stage with mountain(s)
1990,11,1990-07-11,Saint-Gervais,Alpe d'Huez,182.5,Stage with mountain(s)
1990,12,1990-07-12,Fontaine,Villard-de-Lans,33.5,Mountain time trial
1990,13,1990-07-14,Villard-de-Lans,Saint-Étienne,149.0,Hilly stage
1990,14,1990-07-15,Le Puy-en-Velay,Millau,205.0,Hilly stage
1990,15,1990-07-16,Millau,Revel,170.0,Plain stage
1990,16,1990-07-17,Blagnac,Luz Ardiden,215.0,Stage with mountain(s)
1990,17,1990-07-18,Lourdes,Pau,150.0,Stage with mountain(s)
1990,18,1990-07-19,Pau,Bordeaux,202.0,Plain stage
1990,19,1990-07-20,Castillon-la-Bataille,Limoges,182.5,Plain stage
1990,20,1990-07-21,Lac de Vassivière,Lac de Vassivière,45.5,Individual time trial
1990,21,1990-07-22,Brétigny-sur-Orge,Paris,182.5,Plain stage
1991,P,1991-07-06,Lyon,Lyon,5.4,Individual time trial
1991,1,1991-07-07,Lyon,Lyon,114.5,Plain stage
1991,2,1991-07-07,Bron,Chassieu,36.5,Team time trial
1991,3,1991-07-08,Villeurbanne,Dijon,210.5,Plain stage
1991,4,1991-07-09,Dijon,Reims,286.0,Plain stage
1991,5,1991-07-10,Reims,Valenciennes,149.5,Plain stage
1991,6,1991-07-11,Arras,Le Havre,259.0,Plain stage
1991,7,1991-07-12,Le Havre,Argentan,167.0,Plain stage
1991,8,1991-07-13,Argentan,Alençon,73.0,Individual time trial
1991,9,1991-07-14,Alençon,Rennes,161.0,Plain stage
1991,10,1991-07-15,Rennes,Quimper,207.5,Plain stage
1991,11,1991-07-16,Quimper,Saint-Herblain,246.0,Plain stage
1991,12,1991-07-18,Pau,Jaca (Spain),192.0,Stage with mountain(s)
1991,13,1991-07-19,Jaca (Spain),Val-Louron,232.0,Stage with mountain(s)
1991,14,1991-07-20,St Gaudens,Castres,172.5,Plain stage
1991,15,1991-07-21,Albi,Alès,235.0,Hilly stage
1991,16,1991-07-22,Alès,Gap,215.0,Plain stage
1991,17,1991-07-23,Gap,Alpe d'Huez,125.0,Stage with mountain(s)
1991,18,1991-07-24,Le Bourg-d'Oisans,Morzine,255.0,Stage with mountain(s)
1991,19,1991-07-25,Morzine,Aix-les-Bains,177.0,Hilly stage
1991,20,1991-07-26,Aix-les-Bains,Mâcon,160.0,Hilly stage
1991,21,1991-07-27,Lugny,Mâcon,57.0,Individual time trial
1991,22,1991-07-28,Melun,Paris,178.0,Plain stage
1992,P,1992-07-04,San Sebastián (Spain),San Sebastián (Spain),8.0,Individual time trial
1992,1,1992-07-05,San Sebastián (Spain),San Sebastián (Spain),194.5,Hilly stage
1992,2,1992-07-06,San Sebastián (Spain),Pau,255.0,Hilly stage
1992,3,1992-07-07,Pau,Bordeaux,210.0,Plain stage
1992,4,1992-07-08,Libourne,Libourne,63.5,Team time trial
1992,5,1992-07-09,Nogent-sur-Oise,Wasquehal,196.0,Plain stage
1992,6,1992-07-10,Roubaix,Brussels (Belgium),167.0,Plain stage
1992,7,1992-07-11,Brussels (Belgium),Valkenburg (Netherlands),196.5,Plain stage
1992,8,1992-07-12,Valkenburg (Netherlands),Koblenz (Germany),206.5,Plain stage
1992,9,1992-07-13,Luxembourg City (Luxembourg),Luxembourg City (Luxembourg),65.0,Individual time trial
1992,10,1992-07-14,Luxembourg City (Luxembourg),Strasbourg,217.0,Plain stage
1992,11,1992-07-15,Strasbourg,Mulhouse,249.5,Hilly stage
1992,12,1992-07-17,Dole,St Gervais,267.5,Hilly stage
1992,13,1992-07-18,St Gervais,Sestriere (Italy),254.5,Stage with mountain(s)
1992,14,1992-07-19,Sestriere (Italy),Alpe d'Huez,186.5,Stage with mountain(s)
1992,15,1992-07-20,Le Bourg-d'Oisans,Saint-Étienne,198.0,Hilly stage
1992,16,1992-07-21,Saint-Étienne,La Bourboule,212.0,Hilly stage
1992,17,1992-07-22,La Bourboule,Montluçon,189.0,Plain stage
1992,18,1992-07-23,Montluçon,Tours,212.0,Plain stage
1992,19,1992-07-24,Tours,Blois,64.0,Individual time trial
1992,20,1992-07-25,Blois,Nanterre,222.0,Plain stage
1992,21,1992-07-26,La Défense,Paris,141.0,Plain stage
1993,P,1993-07-03,Le Puy du Fou,Le Puy du Fou,6.8,Individual time trial
1993,1,1993-07-04,Luçon,Les Sables-d'Olonne,215.0,Plain stage
1993,2,1993-07-05,Les Sables-d'Olonne,Vannes,227.5,Plain stage
1993,3,1993-07-06,Vannes,Dinard,189.5,Plain stage
1993,4,1993-07-07,Dinard,Avranches,81.0,Team time trial
1993,5,1993-07-08,Avranches,Évreux,225.5,Plain stage
1993,6,1993-07-09,Évreux,Amiens,158.0,Plain stage
1993,7,1993-07-10,Péronne,Châlons-sur-Marne,199.0,Plain stage
1993,8,1993-07-11,Châlons-sur-Marne,Verdun,184.5,Plain stage
1993,9,1993-07-12,Lac de Madine,Lac de Madine,59.0,Individual time trial
1993,10,1993-07-14,Villard-de-Lans,Serre Chevalier,203.0,Stage with mountain(s)
1993,11,1993-07-15,Serre Chevalier,Isola 2000,179.0,Stage with mountain(s)
1993,12,1993-07-16,Isola,Marseille,286.5,Plain stage
1993,13,1993-07-17,Marseille,Montpellier,181.5,Plain stage
1993,14,1993-07-18,Montpellier,Perpignan,223.0,Plain stage
1993,15,1993-07-19,Perpignan,Pal,231.5,Stage with mountain(s)
1993,16,1993-07-21,Andorra,Saint-Lary-Soulan Pla d'Adet,230.0,Stage with mountain(s)
1993,17,1993-07-22,Tarbes,Pau,190.0,Stage with mountain(s)
1993,18,1993-07-23,Orthez,Bordeaux,199.5,Plain stage
1993,19,1993-07-24,Brétigny-sur-Orge,Montlhéry,48.0,Individual time trial
1993,20,1993-07-25,Viry-Châtillon,Paris,196.5,Plain stage
1994,P,1994-07-02,Lille,Lille,7.2,Individual time trial
1994,1,1994-07-03,Lille,Armentières,234.0,Plain stage
1994,2,1994-07-04,Roubaix,Boulogne-sur-Mer,203.5,Plain stage
1994,3,1994-07-05,Calais,Eurotunnel,66.5,Team time trial
1994,4,1994-07-06,Dover (United Kingdom),Brighton (United Kingdom),204.5,Plain stage
1994,5,1994-07-07,Portsmouth (United Kingdom),Portsmouth (United Kingdom),187.0,Plain stage
1994,6,1994-07-08,Cherbourg-en-Cotentin,Rennes,270.5,Plain stage
1994,7,1994-07-09,Rennes,Futuroscope,259.5,Plain stage
1994,8,1994-07-10,Poitiers,Trélissac,218.5,Plain stage
1994,9,1994-07-11,Périgueux,Bergerac,64.0,Individual time trial
1994,10,1994-07-12,Bergerac,Cahors,160.5,Plain stage
1994,11,1994-07-13,Cahors,Hautacam,263.5,Stage with mountain(s)
1994,12,1994-07-15,Lourdes,Luz Ardiden,204.5,Stage with mountain(s)
1994,13,1994-07-16,Bagnères-de-Bigorre,Albi,223.0,Plain stage
1994,14,1994-07-17,Castres,Montpellier,202.0,Plain stage
1994,15,1994-07-18,Montpellier,Carpentras,231.0,Stage with mountain(s)
1994,16,1994-07-19,Valréas,Alpe d'Huez,224.5,Stage with mountain(s)
1994,17,1994-07-20,Le Bourg-d'Oisans,Val Thorens,149.0,Stage with mountain(s)
1994,18,1994-07-21,Moutiers,Cluses,174.5,Stage with mountain(s)
1994,19,1994-07-22,Cluses,Avoriaz,47.5,Mountain time trial
1994,20,1994-07-23,Morzine,Lac Saint-Point,208.5,Hilly stage
1994,21,1994-07-24,Disneyland Paris,Paris,175.0,Plain stage
1995,P,1995-07-01,Saint-Brieuc,Saint-Brieuc,7.3,Individual time trial
1995,1,1995-07-02,Dinan,Lannion,233.5,Plain stage
1995,2,1995-07-03,Perros-Guirec,Vitre,235.5,Plain stage
1995,3,1995-07-04,Mayenne,Alençon,67.0,Team time trial
1995,4,1995-07-05,Alençon,Le Havre,162.0,Plain stage
1995,5,1995-07-06,Fécamp,Dunkirk,261.0,Plain stage
1995,6,1995-07-07,Dunkirk,Charleroi (Belgium),202.0,Plain stage
1995,7,1995-07-08,Charleroi (Belgium),Liège (Belgium),203.0,Hilly stage
1995,8,1995-07-09,Huy (Belgium),Seraing (Belgium),54.0,Individual time trial
1995,9,1995-07-11,Le Grand-Bornand,La Plagne,160.0,Stage with mountain(s)
1995,10,1995-07-12,La Plagne,Alpe d'Huez,162.5,Stage with mountain(s)
1995,11,1995-07-13,Le Bourg-d'Oisans,Saint-Étienne,199.0,Hilly stage
1995,12,1995-07-14,Saint-Étienne,Mende,222.5,Hilly stage
1995,13,1995-07-15,Mende,Revel,245.0,Plain stage
1995,14,1995-07-16,Saint-Orens-de-Gameville,Guzet-Neige,164.0,Stage with mountain(s)
1995,15,1995-07-18,Saint-Girons,Cauterets,206.0,Stage with mountain(s)
1995,16,1995-07-19,Tarbes,Pau,237.0,Stage with mountain(s)
1995,17,1995-07-20,Pau,Bordeaux,246.0,Plain stage
1995,18,1995-07-21,Montpon-Ménestérol,Limoges,166.5,Plain stage
1995,19,1995-07-22,Lac de Vassivière,Lac de Vassivière,46.5,Individual time trial
1995,20,1995-07-23,Sainte-Geneviève-des-Bois,Paris,155.0,Plain stage
1996,P,1996-06-29,'s-Hertogenbosch (Netherlands),'s-Hertogenbosch (Netherlands),9.4,Individual time trial
1996,1,1996-06-30,'s-Hertogenbosch (Netherlands),'s-Hertogenbosch (Netherlands),209.0,Plain stage
1996,2,1996-07-01,'s-Hertogenbosch (Netherlands),Wasquehal,247.5,Plain stage
1996,3,1996-07-02,Wasquehal,Nogent-sur-Oise,195.0,Plain stage
1996,4,1996-07-03,Soissons,Lac de Madine,232.0,Plain stage
1996,5,1996-07-04,Lac de Madine,Besançon,242.0,Plain stage
1996,6,1996-07-05,Arc-et-Senans,Aix-les-Bains,207.0,Hilly stage
1996,7,1996-07-06,Chambéry,Les Arcs,200.0,Stage with mountain(s)
1996,8,1996-07-07,Bourg-Saint-Maurice,Val d'Isère,30.5,Individual time trial
1996,9,1996-07-08,Le Monêtier-les-Bains,Sestriere (Italy),46.0,Stage with mountain(s)
1996,10,1996-07-09,Turin (Italy),Gap,208.5,Hilly stage
1996,11,1996-07-11,Gap,Valence,202.0,Hilly stage
1996,12,1996-07-12,Valence,Le Puy-en-Velay,143.5,Hilly stage
1996,13,1996-07-13,Le Puy-en-Velay,Super Besse,177.0,Hilly stage
1996,14,1996-07-14,Besse,Tulle,186.5,Hilly stage
1996,15,1996-07-15,Brive-la-Gaillarde,Villeneuve-sur-Lot,176.0,Plain stage
