poem,residues_ss,helix_pct,strand_pct,loop_pct
maragall-oda-a-espanya,1139,35.4,1.7,62.9
verdaguer-lemigrant,647,61.1,1.2,37.7
alcover-desolacio,561,77.2,0.0,22.8
alcover-la-balanguera,559,76.2,0.0,23.8
alcover-la-reliquia,764,49.3,0.0,50.7
alcover-record-de-soller,1566,65.2,0.0,34.8
costa-llobera-cala-gentil,1113,54.4,0.0,45.6
maragall-cant-espiritual,1535,72.0,0.0,28.0
maragall-cant-senyera,467,78.2,0.0,21.8
maragall-excelsior,473,59.8,0.0,40.2
maragall-la-fageda,501,16.6,0.0,83.4
maragall-la-ginesta,587,65.6,0.0,34.4
maragall-la-sardana,800,76.6,0.0,23.4
maragall-la-vaca-cega,755,64.0,0.0,36.0
mestres-canco-invadits,587,52.0,0.0,48.0
rossello-a-mallorca,561,73.6,0.0,26.4
salvat-mester-damor,516,64.1,0.0,35.9
salvat-res-no-es-mesqui,648,75.5,0.0,24.5
salvat-si-anessis-lluny,318,64.8,0.0,35.2
torres-la-ciutat-llunyana,586,60.6,0.0,39.4
torres-molt-lluny-daqui,791,64.0,0.0,36.0
torres-temple-de-la-mort,547,63.3,0.0,36.7
verdaguer-la-plana-de-vic,2124,67.5,0.0,32.5
